FID,Field1,Latitud,Longitud,T°_promed,Desvest,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,nov,dic
0,Puerto Lobos,30.3,-112.9, , ,17.6044006,17.5923004,18.0006008,19.9048004,23.1210003,26.4547005,29.309,30.4615993,30.2530994,28.0365009,23.9027004,19.0706005
1,Puerto Libertad,29.9,-112.7, , ,17.2884998,17.3789005,18.0548,19.7166996,22.8297997,26.3775997,29.3985996,30.5860996,30.3850002,28.1392994,23.4965,18.8444004
2,Bahía San Luis Gonzaga,29.8,-114.4, , ,17.8372993,17.4741993,18.5506001,19.906601,22.3668003,26.0326996,29.0757999,30.4736996,30.4792004,28.0753002,23.8192005,19.8150005
3,Isla Ángel de la Guarda,29.6,-113.6, , ,17.6077003,17.2702007,17.9906998,19.3267994,22.0869007,25.875,28.8155003,30.3985004,30.3416996,27.9307995,23.684,19.7143993
4,Isla Patos,29.3,-112.5, , ,17.3152008,17.6152,18.1145992,19.3894005,22.0886993,27.1777992,29.4314995,30.6236,30.3980999,27.9507008,22.9967995,18.6217995
5,Isla Tiburón,29.1,-112.5, , ,0,0,0,0,0,0,0,0,0,0,0,0
6,Isla San Esteban,28.7,-112.6, , ,16.6151009,16.5760994,16.5480003,17.6975002,20.8537998,26.3174,28.5205002,29.5979004,29.6543999,27.4050007,23.1783009,18.0856991
7,Isla San Lorenzo,28.6,-112.8, , ,17.2833004,17.0142994,17.2621994,18.2409,21.0300999,25.3230991,28.0858002,29.3815002,29.3537998,27.0881004,22.9512997,18.8234997
8,San Francisquito,28.4,-112.9, , ,16.5872002,15.7003002,16.6245995,17.2896996,20.4741993,26.3579998,28.6063004,29.4209003,29.2714996,27.0233994,22.6387005,18.1814003
9,Isla San Pedro Mártir,28.4,-112.3, , ,17.6543999,18.0417995,18.0890007,19.2595997,23.0163002,27.2367001,29.5702991,30.8052006,30.6665001,28.0970001,23.3761997,18.6849003
10,Isla San Pedro Nolasco,28,-111.4, , ,18.3791008,18.6443005,18.8787994,20.7570992,24.6592007,28.0273991,30.0443993,31.0865993,30.8040009,28.8442001,24.1592007,19.6005001
11,Isla Tortuga,27.4,-111.9, , ,18.8616009,19.0182991,19.4384995,21.0739994,24.2933006,27.6406994,29.6989994,30.9675999,30.8167,29.1347008,25.1996002,20.5960999
12,Isla San Marcos,27.3,-112.1, , ,18.8190994,18.8766003,19.3649006,21.0774994,24.0144997,27.1187,28.8180008,30.1805992,30.1692009,28.6366005,25.1196003,20.7334995
13,Isla San Idelfonso,26.6,-111.4, , ,19.4251003,19.2984009,19.9943008,21.4501991,24.2187004,27.1863995,29.2287998,30.7605991,30.7271996,29.1191998,25.6762009,21.2717991
14,Punta Pulpito,26.5,-111.4, , ,19.5438995,19.3885994,20.0496006,21.4692001,24.3731003,27.0874004,29.1716995,30.5828991,30.5084,29.0790997,25.7891998,21.3003998
