month	year	localidad	temperatura
7	2002	puerto_lobos	28.2349567
8	2002	puerto_lobos	29.78866
9	2002	puerto_lobos	26.7776089
10	2002	puerto_lobos	22.4611988
11	2002	puerto_lobos	19.3741226
12	2002	puerto_lobos	18.2862797
1	2003	puerto_lobos	17.9524193
2	2003	puerto_lobos	18.3062077
3	2003	puerto_lobos	18.9954872
4	2003	puerto_lobos	21.463253
5	2003	puerto_lobos	24.8998318
6	2003	puerto_lobos	27.8335629
7	2003	puerto_lobos	29.6479378
8	2003	puerto_lobos	29.634798
9	2003	puerto_lobos	27.7894554
10	2003	puerto_lobos	22.8351784
11	2003	puerto_lobos	17.7549095
12	2003	puerto_lobos	16.3281708
1	2004	puerto_lobos	15.8916454
2	2004	puerto_lobos	17.8304138
3	2004	puerto_lobos	19.8602161
4	2004	puerto_lobos	22.2786083
5	2004	puerto_lobos	26.0625095
6	2004	puerto_lobos	28.4990673
7	2004	puerto_lobos	30.1811237
8	2004	puerto_lobos	29.2555618
9	2004	puerto_lobos	26.3709164
10	2004	puerto_lobos	22.0915279
11	2004	puerto_lobos	18.521328
12	2004	puerto_lobos	16.793808
1	2005	puerto_lobos	16.7873497
2	2005	puerto_lobos	17.8462181
3	2005	puerto_lobos	19.1832924
4	2005	puerto_lobos	21.7958679
5	2005	puerto_lobos	25.6411953
6	2005	puerto_lobos	28.4927368
7	2005	puerto_lobos	30.0507622
8	2005	puerto_lobos	29.9056282
9	2005	puerto_lobos	26.316309
10	2005	puerto_lobos	20.9787731
11	2005	puerto_lobos	17.1526737
12	2005	puerto_lobos	15.6647024
1	2006	puerto_lobos	15.9584284
2	2006	puerto_lobos	16.2242184
3	2006	puerto_lobos	18.5236435
4	2006	puerto_lobos	21.8052273
5	2006	puerto_lobos	25.0160275
6	2006	puerto_lobos	29.4212704
7	2006	puerto_lobos	30.4081116
8	2006	puerto_lobos	29.2284145
9	2006	puerto_lobos	26.9233761
10	2006	puerto_lobos	22.8888893
11	2006	puerto_lobos	19.0508461
12	2006	puerto_lobos	16.4341717
1	2007	puerto_lobos	16.3313503
